iter	Passed	Remaining
0	142	142792
1	143	71748
2	144	48018
3	145	36172
4	145	29048
5	146	24322
6	147	20942
7	148	18419
8	149	16436
9	149	14843
10	150	13537
11	151	12461
12	151	11536
13	152	10751
14	153	10073
15	154	9488
16	154	8958
17	155	8490
18	156	8071
19	157	7696
20	157	7352
21	158	7038
22	159	6759
23	159	6498
24	160	6259
25	161	6038
26	161	5835
27	162	5648
28	163	5468
29	163	5299
30	164	5143
31	165	4995
32	165	4860
33	166	4729
34	167	4612
35	167	4496
36	168	4389
37	169	4288
38	170	4190
39	170	4096
40	171	4007
41	171	3922
42	172	3842
43	173	3764
44	173	3692
45	174	3624
46	175	3555
47	176	3492
48	176	3428
49	177	3368
50	177	3309
51	178	3254
52	179	3200
53	179	3150
54	180	3100
55	181	3054
56	181	3007
57	182	2965
58	183	2922
59	183	2881
60	184	2839
61	185	2802
62	185	2766
63	186	2728
64	187	2692
65	187	2658
66	188	2624
67	188	2590
68	189	2560
69	190	2531
70	191	2501
71	191	2471
72	192	2443
73	193	2418
74	194	2392
75	194	2367
76	195	2341
77	196	2316
78	196	2291
79	197	2270
80	198	2246
81	198	2224
82	199	2202
83	200	2181
84	200	2159
85	201	2139
86	202	2120
87	202	2101
88	203	2082
89	204	2062
90	204	2043
91	205	2026
92	205	2008
93	206	1992
94	207	1975
95	207	1957
96	208	1942
97	209	1925
98	210	1911
99	210	1897
100	211	1882
101	212	1868
102	212	1854
103	213	1840
104	214	1825
105	214	1811
106	215	1797
107	216	1784
108	216	1771
109	217	1758
110	217	1745
111	218	1732
112	219	1719
113	219	1707
114	220	1695
115	220	1683
116	221	1672
117	222	1661
118	222	1650
119	223	1639
120	223	1626
121	224	1616
122	225	1606
123	225	1595
124	226	1585
125	227	1575
126	227	1565
127	228	1555
128	228	1545
129	229	1536
130	230	1526
131	230	1516
132	231	1508
133	231	1499
134	232	1490
135	233	1481
136	233	1472
137	234	1463
138	234	1455
139	235	1447
140	236	1439
141	236	1431
142	237	1424
143	238	1416
144	238	1408
145	239	1401
146	240	1395
147	241	1388
148	241	1381
149	242	1374
150	243	1366
151	243	1360
152	244	1352
153	245	1345
154	245	1338
155	246	1332
156	246	1326
157	247	1319
158	248	1312
159	248	1305
160	249	1299
161	249	1292
162	250	1286
163	251	1281
164	251	1274
165	252	1268
166	253	1263
167	253	1257
168	254	1251
169	255	1245
170	255	1240
171	256	1234
172	257	1228
173	257	1223
174	258	1217
175	258	1212
176	259	1206
177	260	1201
178	260	1195
179	261	1190
180	261	1185
181	262	1179
182	263	1174
183	263	1170
184	264	1165
185	265	1160
186	265	1155
187	266	1151
188	267	1146
189	267	1142
190	268	1137
191	268	1130
192	269	1126
193	270	1121
194	270	1117
195	271	1112
196	271	1108
197	272	1104
198	273	1099
199	273	1095
200	274	1091
201	275	1087
202	275	1083
203	276	1079
204	277	1075
205	277	1070
206	278	1066
207	278	1062
208	279	1058
209	280	1054
210	281	1050
211	281	1047
212	282	1043
213	283	1039
214	283	1035
215	284	1031
216	285	1028
217	285	1024
218	286	1020
219	286	1016
220	287	1012
221	287	1008
222	288	1005
223	289	1002
224	289	998
225	290	995
226	291	991
227	291	988
228	292	984
229	293	981
230	293	977
231	294	974
232	294	970
233	295	967
234	296	964
235	296	961
236	297	958
237	298	954
238	298	951
239	299	948
240	300	945
241	300	941
242	301	939
243	302	935
244	302	932
245	303	929
246	304	926
247	304	924
248	305	920
249	306	918
250	306	914
251	307	912
252	308	909
253	308	906
254	309	903
255	309	900
256	310	898
257	311	896
258	312	893
259	313	891
260	313	888
261	314	886
262	315	883
263	316	881
264	316	879
265	317	876
266	318	874
267	319	872
268	319	869
269	320	866
270	321	864
271	321	861
272	322	859
273	323	856
274	323	854
275	324	851
276	325	850
277	326	848
278	327	845
279	327	843
280	328	840
281	329	838
282	329	835
283	330	833
284	331	831
285	331	828
286	332	825
287	333	823
288	333	820
289	334	818
290	335	816
291	335	814
292	336	811
293	336	809
294	337	806
295	338	804
296	338	801
297	339	799
298	340	797
299	340	795
300	341	793
301	342	791
302	343	789
303	343	786
304	344	784
305	344	782
306	345	780
307	346	777
308	346	775
309	347	773
310	348	771
311	348	769
312	349	766
313	350	764
314	350	762
315	351	760
316	352	758
317	352	756
318	353	754
319	353	752
320	354	750
321	355	748
322	355	745
323	356	743
324	357	741
325	357	739
326	358	738
327	359	736
328	359	734
329	360	732
330	361	730
331	361	728
